"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.74","48.94","CHEMAINUS","1011500","2010-01-01","2010","01","01","†","8.5","","3.5","","6.0","","12.0","","0.0","","24.5","","0.0","","24.5","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-02","2010","01","02","†","10.0","","5.5","","7.8","","10.2","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-03","2010","01","03","†","7.0","","3.0","","5.0","","13.0","","0.0","","7.8","","0.0","","7.8","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-04","2010","01","04","†","6.5","","5.0","","5.8","","12.2","","0.0","","20.5","","0.0","","20.5","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-05","2010","01","05","†","8.0","","5.0","","6.5","","11.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-06","2010","01","06","†","6.5","","2.0","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-07","2010","01","07","†","5.5","","1.0","","3.3","","14.7","","0.0","","4.9","","0.0","","4.9","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-08","2010","01","08","†","7.5","","3.0","","5.3","","12.7","","0.0","","14.2","","0.0","","14.2","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-09","2010","01","09","†","10.5","","5.5","","8.0","","10.0","","0.0","","6.1","","0.0","","6.1","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-10","2010","01","10","†","9.0","","5.0","","7.0","","11.0","","0.0","","29.9","","0.0","","29.9","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-11","2010","01","11","†","10.5","","7.0","","8.8","","9.2","","0.0","","40.1","","0.0","","40.1","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-12","2010","01","12","†","11.0","","8.5","","9.8","","8.2","","0.0","","5.6","","0.0","","5.6","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-13","2010","01","13","†","9.5","","7.0","","8.3","","9.7","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-14","2010","01","14","†","8.5","","7.0","","7.8","","10.2","","0.0","","28.0","","0.0","","28.0","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-15","2010","01","15","†","11.0","","7.0","","9.0","","9.0","","0.0","","23.3","","0.0","","23.3","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-16","2010","01","16","†","7.0","","2.0","","4.5","","13.5","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-123.74","48.94","CHEMAINUS","1011500","2010-01-17","2010","01","17","†","10.0","","4.5","","7.3","","10.7","","0.0","","7.7","","0.0","","7.7","","0","","","","",""
