"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.53","48.57","MALAHAT","1014820","2010-01-01","2010","01","01","","6.5","","3.1","","4.8","","13.2","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-02","2010","01","02","","7.3","","4.1","","5.7","","12.3","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-03","2010","01","03","","5.3","","2.7","","4.0","","14.0","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-04","2010","01","04","","4.0","","3.3","","3.7","","14.3","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-05","2010","01","05","","5.6","","3.3","","4.5","","13.5","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-06","2010","01","06","","3.7","","0.8","","2.3","","15.7","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-07","2010","01","07","","3.5","","-0.2","","1.7","","16.3","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-08","2010","01","08","","5.5","","2.1","","3.8","","14.2","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-09","2010","01","09","","8.9","","5.2","","7.1","","10.9","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-10","2010","01","10","","8.1","","4.2","","6.2","","11.8","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-11","2010","01","11","","9.2","","7.2","","8.2","","9.8","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-12","2010","01","12","","9.6","","6.7","","8.2","","9.8","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-13","2010","01","13","","8.0","","5.8","","6.9","","11.1","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-14","2010","01","14","","7.7","","5.1","","6.4","","11.6","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-15","2010","01","15","","7.6","","3.3","","5.5","","12.5","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-16","2010","01","16","","4.5","","1.5","","3.0","","15.0","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-17","2010","01","17","","6.5","","3.1","","4.8","","13.2","","0.0","","","M","","M","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2010-01-18","2010","01","18","","7.4","","5.0","","6.2","","11.8","","0.0","","","M","","M","","M","","","","M","","M"
